Monster,Number,AC,MV,HD,Lair%,Treas,Atk,Dam,Align,Type,EHD,HDD,Env,Source,Special
Dwarfs,2-12,4,9,1,50,G,,,,,,,,,
Efreeti,1,4,9/24,10,n/a,n/a,,,,,,,,,
"Elemental, Air",1,3,-/36,8/12/16,n/a,n/a,,,,,,,,,
"Elemental, Earth",1,3,6/6,8/12/16,n/a,n/a,,,,,,,,,
"Elemental, Fire",1,3,12,8/12/16,n/a,n/a,,,,,,,,,
"Elemental, Water",1,3,6/18,8/12/16,n/a,n/a,,,,,,,,,
Elves,2-12,7,12,1,25,E,,,,,,,,,
"Fish, giant",2-12,5,-/30,4-9,n/a,n/a,,,,,,,,,
Gargoyles,1-10,6,9/15,4,25,C,,,,,,,,,
Gelatinous cube,1,8,6,4,n/a,*,,,,,,,,,
Ghouls,1-12,7,9,2,20,B,,,,,,,,,
"Giant, Cloud",1-8,3,15,12+2,30,E*,,,,,,,,,
"Giant, Fire",1-8,3,12,11+3,30,E*,,,,,,,,,
"Giant, Frost",1-8,4,12,10+1,30,E*,,,,,,,,,
"Giant, Hill",1-8,4,12,8,30,E*,,,,,,,,,
"Giant, Stone",1-8,2,12,9,30,E*,,,,,,,,,
"Giant, Storm",1-8,2,15,15,30,E*,,,,,,,,,
Gnolls,2-10,6,9,2,30,D,,,,,,,,,
Gnomes,2-12,6,9,1,60,C,,,,,,,,,
Goblins,2-20,7,9,1−1,50,*,,,,,,,,,
"Golem, Clay",1,2,6,12,n/a,n/a,,,,,,,,,
"Golem, Flesh",1,9,9,9,n/a,n/a,,,,,,,,,
Gorgons,1-4,3,12,8,50,E,,,,,,,,,
Gothrogs,1-6,3,9/15,10,25,F,,,,,,,,,
Gray ooze,1,9,3,3,n/a,n/a,,,,,,,,,
Green slime,1,9,n/a,3,n/a,n/a,,,,,,,,,
Griffons,1-8,4,12/30,7,10,E,,,,,,,,,
Halflings,2-8,7,9,1,70,B,,,,,,,,,
Hippogriffs,1-8,6,18/36,3+1,n/a,n/a,,,,,,,,,
Hobgoblins,2-12,5,9,1+1,30,D,,,,,,,,,
"Horse, Destrier",n/a,7,12,2+4,n/a,n/a,,,,,,,,,
"Horse, Draft horse",n/a,7,12,2+1,n/a,n/a,,,,,,,,,
"Horse, Mule",n/a,7,12,2,n/a,n/a,,,,,,,,,
"Horse, Riding horse",n/a,7,24,2,n/a,n/a,,,,,,,,,
"Horse, War horse",n/a,7,18,2+2,n/a,n/a,,,,,,,,,
Hydras,1-2,5,12,5-12,25,B,,,,,,,,,
Invisible stalker,1,2,-/12,8,n/a,n/a,,,,,,,,,
Juggernaut,1,2,9,37,n/a,n/a,,,,,,,,,
Kobolds,2-20,7,6/9,½,50,*,,,,,,,,,
"Leeches, giant",2-12,8,3/6,2,n/a,n/a,,,,,,,,,
Lions,1-6,6,12,5+2,25,n/a,,,,,,,,,
"Lions, spotted",2-8,5,12,6+2,25,n/a,,,,,,,,,
"Living statue, Iron",1,2,6,18,n/a,n/a,,,,,,,,,
"Living statue, Stone",1,5,6,14,n/a,n/a,,,,,,,,,
"Lizards, giant",1-6,5,15,3+1,60,n/a,,,,,,,,,
"Lizards, large",1-6,8,12,½,60,n/a,,,,,,,,,
Lizardmen,2-8,6,6/12,2+1,40,D,,,,,,,,,
"Lycanthrope, Werebears",1-10,3,9,6,15,C,,,,,,,,,
"Lycanthrope, Wereboars",1-10,5,12,4+1,15,C,,,,,,,,,
"Lycanthrope, Weretigers",1-10,4,12,5,15,C,,,,,,,,,
"Lycanthrope, Werewolves",1-10,6,15,4,15,C,,,,,,,,,
Manticoras,1-4,5,12/18,6+1,25,D,,,,,,,,,
Mastadons,1-12,6,15,12,n/a,n/a,,,,,,,,,
Medusae,1-4,7,9,4,75,F,,,,,,,,,
"Men, Bandits",2-16,8,12,1,15,A1,,,,,,,,,
"Men, Berserkers",2-16,9,12,1+1,15,A1,,,,,,,,,
"Men, Brigands",2-16,6,12,1,15,A1,,,,,,,,,
"Men, Buccaneers",2-16,8,12,1,15,A3,,,,,,,,,
"Men, Dervishes",2-16,8,12,1+1,15,A2,,,,,,,,,
"Men, Mercenaries",2-16,6,12,1+1,15,A3,,,,,,,,,
"Men, Nomads",2-16,8,12,1,15,A2,,,,,,,,,
"Men, Pirates",2-16,8,12,1,15,A3,,,,,,,,,
"Men, Zealots",2-16,9,12,1+1,15,A2,,,,,,,,,
"Men, Mermen",2-12,7,3/15,1+1,40,A3,,,,,,,,,
Minotaurs,1-8,6,12,6,30,C,,,,,,,,,
Mummies,1-6,4,6,5+1,30,D,,,,,,,,,
Nixies,2-20,7,6/12,1−1,100,B,,,,,,,,,
Ochre jelly,1,9,3,5,n/a,n/a,,,,,,,,,
"Octopi, giant",1-4,7,-/9,4,30,A3,,,,,,,,,
Ogres,1-8,6,9,4+1,30,C*,,,,,,,,,
Orcs,2-16,7,9,1,50,D,,,,,,,,,
Pegasi,1-12,6,24/48,2+2,n/a,n/a,,,,,,,,,
Pixies,2-20,6,9/18,1−1,25,C,,,,,,,,,
Purple worms,1-4,6,9/9,15,25,D,,,,,,,,,
"Rats, giant",2-12,7,12/6,½,10,C,,,,,,,,,
Robots,1-4,3,6/6,7,n/a,n/a,,,,,,,,,
"Roc, Young",1-8,6,6/48,6,20,I,,,,,,,,,
"Roc, Adult",1-6,5,6/42,12,20,I,,,,,,,,,
"Roc, Ancient",1-4,4,6/36,18,20,I,,,,,,,,,
Sabre toothed tigers,1-2,6,12,7+2,15,n/a,,,,,,,,,
Salamanders,2-5,3/5,9,7+3,70,F,,,,,,,,,
"Scorpions, giant",1-4,3,15,5+4,50,D,,,,,,,,,
"Sea monster, Leviathan",1,4,-/18,45,n/a,H,,,,,,,,,
"Sea monster, Kraken",1,2,3/18,30,75,G*,,,,,,,,,
"Sea monster, Sea serpents",1-4,6,-/21,15,25,D,,,,,,,,,
Shadows,1-10,7,-/9,2+2,50,F,,,,,,,,,
Skeletons,3-30,8,6,½,n/a,n/a,,,,,,,,,
"Snakes, giant",1-4,6,9/9,7,n/a,n/a,,,,,,,,,
"Snakes, large",2-16,8,6/6,½,n/a,n/a,,,,,,,,,
Spectres,1-8,3,-/15,6,25,E,,,,,,,,,
"Spiders, giant",1-8,5,3/12,4+4,70,C,,,,,,,,,
"Spiders, large",1-10,8,6/15,½,60,C,,,,,,,,,
"Squid, giant",1-6,7/3,-/12,6,20,A3,,,,,,,,,
Thulls,1-8,6,9,3,35,D,,,,,,,,,
Tigers,1-4,6,12,5+4,15,n/a,,,,,,,,,
Titanotheres,1-12,7,12,12,n/a,n/a,,,,,,,,,
Titan,1,2,18,21,5,A1*,,,,,,,,,
"Toads, giant",1-6,6,6/6,2+4,40,n/a,,,,,,,,,
Treants,1-10,2,6,8,15,n/a,,,,,,,,,
Trolls,1-6,5,12,6+3,50,D,,,,,,,,,
Unicorns,1-4,3,24,4,n/a,n/a,,,,,,,,,
Vampires,1-6,2,12/18,8,20,F,,,,,,,,,
"Weasels, giant",1-8,6,15,2,15,n/a,,,,,,,,,
Wight apes,1-6,6,12/12,5+2,10,C,,,,,,,,,
Wights,1-12,6,9,3,60,B,,,,,,,,,
Wolves,1-10,7,18,1,15,n/a,,,,,,,,,
"Wolves, giant",1-6,6,18,2+2,15,n/a,,,,,,,,,
Woolly mammoths,1-12,5,15,13,n/a,n/a,,,,,,,,,
Woolly rhinoceroses,1-4,5,12,10,n/a,n/a,,,,,,,,,
Wraiths,1-8,4,-/12,4,20,E,,,,,,,,,
Wyverns,1-6,4,9/24,7,60,E,,,,,,,,,
Yellow mold,1,9,n/a,3,n/a,n/a,,,,,,,,,
Zombies,3-30,9,6,1,n/a,n/a,,,,,,,,,
