Trait,Value
Dirty,Negative
Disconcerting,Negative
Discontented,Negative
Discouraging,Negative
Discourteous,Negative
Dishonest,Negative
Disloyal,Negative
Disobedient,Negative
Disorderly,Negative
Disorganized,Negative
Disputatious,Negative
Disrespectful,Negative
Disruptive,Negative
Dissolute,Negative
Dissonant,Negative
Distractible,Negative
Disturbing,Negative
Dogmatic,Negative
Domineering,Negative
Dull,Negative
Easily Discouraged,Negative
Egocentric,Negative
Enervated,Negative
Envious,Negative
Erratic,Negative
Escapist,Negative
Excitable,Negative
Expedient,Negative
Extravagant,Negative
Extreme,Negative
Faithless,Negative
False,Negative
Fanatical,Negative
Fanciful,Negative
Fatalistic,Negative
Fawning,Negative
Fearful,Negative
Fickle,Negative
Fiery,Negative
Fixed,Negative
Flamboyant,Negative
Foolish,Negative
Forgetful,Negative
Fraudulent,Negative
Frightening,Negative
Frivolous,Negative
Gloomy,Negative
Graceless,Negative
Grand,Negative
Greedy,Negative
Grim,Negative
Gullible,Negative
Hateful,Negative
Haughty,Negative
Hedonistic,Negative
Hesitant,Negative
Hidebound,Negative
High-handed,Negative
Hostile,Negative
Ignorant,Negative
Imitative,Negative
Impatient,Negative
Impractical,Negative
Imprudent,Negative
Impulsive,Negative
Inconsiderate,Negative
Incurious,Negative
Indecisive,Negative
Indulgent,Negative
Inert,Negative
Inhibited,Negative
Insecure,Negative
Insensitive,Negative
Insincere,Negative
Insulting,Negative
Intolerant,Negative
Irascible,Negative
Irrational,Negative
Irresponsible,Negative
Irritable,Negative
Lazy,Negative
Libidinous,Negative
Loquacious,Negative
Malicious,Negative
Mannered,Negative
Mannerless,Negative
Mawkish,Negative
Mealymouthed,Negative
Mechanical,Negative
Meddlesome,Negative
Melancholic,Negative
Meretricious,Negative
Messy,Negative
Miserable,Negative
Miserly,Negative
Misguided,Negative
Mistaken,Negative
Money-minded,Negative
Monstrous,Negative
Moody,Negative
Morbid,Negative
Muddle-headed,Negative
Naive,Negative
Narcissistic,Negative
Narrow,Negative
Narrow-minded,Negative
Natty,Negative
Negativistic,Negative
Neglectful,Negative
Neurotic,Negative
Nihilistic,Negative
Obnoxious,Negative
Obsessive,Negative
Obvious,Negative
Odd,Negative
Offhand,Negative
One-dimensional,Negative
One-sided,Negative
Opinionated,Negative
Opportunistic,Negative
Oppressed,Negative
Outrageous,Negative
Overimaginative,Negative
Paranoid,Negative
Passive,Negative
Pedantic,Negative
Perverse,Negative
Petty,Negative
Pharisaical,Negative
Phlegmatic,Negative
Plodding,Negative
Pompous,Negative
Possessive,Negative
Power-hungry,Negative
Predatory,Negative
Prejudiced,Negative
Presumptuous,Negative
Pretentious,Negative
Prim,Negative
Procrastinating,Negative
Profligate,Negative
Provocative,Negative
Pugnacious,Negative
Puritanical,Negative
Quirky,Negative
Reactionary,Negative
Reactive,Negative
Regimental,Negative
Regretful,Negative
Repentant,Negative
Repressed,Negative
Resentful,Negative
Ridiculous,Negative
Rigid,Negative
Ritualistic,Negative
Rowdy,Negative
Ruined,Negative
Sadistic,Negative
Sanctimonious,Negative
Scheming,Negative
Scornful,Negative
Secretive,Negative
Sedentary,Negative
Selfish,Negative
Self-indulgent,Negative
Shallow,Negative
Shortsighted,Negative
Shy,Negative
Silly,Negative
Single-minded,Negative
Sloppy,Negative
Slow,Negative
Sly,Negative
Small-thinking,Negative
Soft-headed,Negative
Sordid,Negative
Steely,Negative
Stiff,Negative
Strong-willed,Negative
Stupid,Negative
Submissive,Negative
Superficial,Negative
Superstitious,Negative
Suspicious,Negative
Tactless,Negative
Tasteless,Negative
Tense,Negative
Thievish,Negative
Thoughtless,Negative
Timid,Negative
Transparent,Negative
Treacherous,Negative
Trendy,Negative
Troublesome,Negative
Unappreciative,Negative
Uncaring,Negative
Uncharitable,Negative
Unconvincing,Negative
Uncooperative,Negative
Uncreative,Negative
Uncritical,Negative
Unctuous,Negative
Undisciplined,Negative
Unfriendly,Negative
Ungrateful,Negative
Unhealthy,Negative
Unimaginative,Negative
Unimpressive,Negative
Unlovable,Negative
Unpolished,Negative
Unprincipled,Negative
Unrealistic,Negative
Unreflective,Negative
Unreliable,Negative
Unrestrained,Negative
Unself-critical,Negative
Unstable,Negative
Vacuous,Negative
Vague,Negative
Venal,Negative
Venomous,Negative
Vindictive,Negative
Vulnerable,Negative
Weak,Negative
Weak-willed,Negative
Well-meaning,Negative
Willful,Negative
Wishful,Negative
Zany,Negative
